feature,importance
num_round_types_used,0.37381765
years_since_founded,0.08476302
funding_rounds,0.078686796
is_multi_round,0.07430645
country_grouped_Other,0.062682115
country_grouped_China,0.038155388
industry_grouped_Biotechnology,0.019878376
industry_grouped_Clean Technology,0.0155361025
country_grouped_United States,0.015341026
country_grouped_Israel,0.014948556
industry_grouped_Health Care,0.014809106
has_debt_financing,0.012938174
country_grouped_Spain,0.01259531
category_count,0.011578734
country_grouped_Netherlands,0.010985976
industry_grouped_Software,0.010717396
country_grouped_India,0.009950687
industry_grouped_Other,0.009529526
industry_grouped_Education,0.009139845
country_grouped_France,0.008913718
country_grouped_Brazil,0.007933185
country_grouped_Russian Federation,0.007694471
industry_grouped_E-Commerce,0.0076214164
industry_grouped_Finance,0.007196303
country_grouped_Australia,0.006877477
industry_grouped_Health and Wellness,0.006465396
country_grouped_United Kingdom,0.006307424
industry_grouped_Apps,0.006170819
industry_grouped_Curated Web,0.0061560376
industry_grouped_Mobile,0.0061247186
country_grouped_Singapore,0.005992284
country_grouped_Canada,0.0058154375
industry_grouped_Hardware + Software,0.0057397657
industry_grouped_Advertising,0.005672882
country_grouped_Germany,0.0054450105
industry_grouped_Enterprise Software,0.004990844
industry_grouped_Games,0.0047565433
country_grouped_Sweden,0.0037660943
